,user,tweet,location,keyword
0,GS,"#COVID19 incidence in greece, cummulative cases over 14 days per 100000. https://t.co/hg095XtwX2","Europe, Germany, Greece",covid19
1,Darshan Rajput ➐,"Irony is that Arogya sethu app was built for tracing COVID-19 And Now everyone is tracing who build the App.😅😅

#ArogyaSethuApp","Maharashtra, India",covid19
2,Radio Varsavia,I’d rather have COVID-19 than Brad Polumbo’s taste in men. Dear god. https://t.co/zqh39vJqvg,The Nile,covid19
3,Windthin ~ Rebel Scum & Snark Jedi🇵🇷🏳️‍🌈🌊❄️,"2/2 The ‘very, very bad look’ of remdesivir, the first FDA-approved COVID-19 drug

FDA held no advisory meeting on antiviral, and Europan Union signed contract without knowing of failed trial https://t.co/MgTr8OR5X1","DeKalb, IL",covid19
4,Suleman.A.Malik,"*A Good News*

Finally an INDIAN student from PONDICHERRY University, named RAMU  found a home remedy cure for Covid-19 which is for the very first time accepted by WHO.",,covid19
5,Dr Pieter Peach,"From 27:30 there is a discussion on the local Swedish media response to the government’s COVID-19 strategy, including coverage of aged care facility outbreaks and healthcare workers were discouraged from using masks for personal protection. https://t.co/fpGaNWdqPG","Melbourne, Victoria",covid19
6,V.Narayanasamy,"Thermal scanning done everyday at the Legislative Assembly, #Puducherry #COVID__19 #Pandemic https://t.co/CBhmFYusEP","Puducherry, India",covid19
7,Peter Malcolm,"Look at this video of the car 🚙 
 she drives... ▶️
https://t.co/JHmYmNOKrD #BTSV #BigBrother22 #COVID19 #Livestream #MaskedSinger #NASCAR #TheMandalorian https://t.co/9HZLEv4VGA","Los Angeles, CA",covid19
8,lizzie favour,"@PoliceNG Those stealing billions in NCDC are still walking free amongst us despite evidence.The Magu case is no more. We demanded how this govt used the  Covid-19 donations,nothing.But in matter of days the poor are on their way to prison. Shame on Nigeria police","Ikeja, Nigeria",covid19
9,Petteri,Trump is ignoring Covid-19 defeat by using War on Terror-era language https://t.co/Oj2iWTfqn5,"Washington, USA",covid19
10,Dr. Andres Godinez (Audiologist),"Fun hearing facts for Halloween
#halloween #fun #hearingloss #hearingprotection #hearingaid #hearingspecialist #ear #doctor #covid19 #pandemic #mice #toad #cat https://t.co/g0NSKXzwVj",USA,covid19
11,Wanted in Rome,"Protests against #Italy's #COVID19 restrictions show no signs of dying down, with clashes last night in Genova, Verona and Palermo, amid a record rise in new #coronavirus cases. https://t.co/bhti3G18T7 https://t.co/7DBBb0kV2o",Rome,covid19
12,Ayn Randy,"As usual right wing ""brains"" cannot handle complexity - alas the world is  not black or white, on or off. Idiots. #nzpol

Opinion: Sweden's coronavirus failure - why COVID-19 herd immunity is dangerous, deadly and might not even work https://t.co/aAHKGW87X9",,covid19
13,Jase,". @talkRADIO the deaths from Covid19 do not warrant a lockdown or any other measure... and for most people it’s not a deadly disease, it’s not even a noticeable disease",The Holy City of Sevenoaks,covid19
14,City of Cape Town,"@ibp_sa The City spent more than 90% or R1,47 billion of its 2019/2020 USDG allocation despite being severely impacted by the COVID-19 crisis and extended lockdown period. 
• The Human Settlements Directorate spent 98% of its USDG capital budget in the 2019/20 financial year.",Cape Town,covid19
15,Nidhi Chanani,"""It’s just not that complicated: masks work""

Can SF survive the fall COVID-19 surge? UCSF doctor responds https://t.co/a6jGQMhPMQ via @SFGate",san francisco bay area,covid19
16,SFCovidTestWait,"The wait for a COVID-19 testing appointment from CityTestSF as of 11:17 PM is:

SoMa: 11 days
Embarcadero: 9 days","San Francisco, CA",covid19
17,VIDIT GUPTA,"@RenukaJain6 @ArvindKejriwal States controlling COVID-19 testing to show lower number of cases, says Thyrocare

https://t.co/kxfJP43ToF",India,covid19
18,Josh,"""Universal mask use could save an additional 129,574 lives from September 22, 2020 through the end of February 2021, or an additional 95,814 lives assuming a lesser adoption of mask wearing (85%), when compared to the reference scenario."" #COVID19 
https://t.co/ogos1DHbGQ","San Francisco Bay, CA",covid19
19,The News Insight - TNI Newsroom,"Here is the #TNI Morning #NewsHeadlines including

👉 Global coronavirus cases top 44.4 million.

👉 Southwest #monsoon withdraws from entire Country.

👉 India continues to be among countries with lowest per million #Covid19 cases, deaths.

https://t.co/A8p2jnG7vK",Bhubaneswar. New Delhi.,covid19
20,idana ₍⸍⸌̣ʷ̣̫⸍̣⸌₎,my parents be like Why do you have no extracurriculars. Ask COVID-19 ???????? Wtf,she/they,covid19
21,Jennifer Sey,"“After completing daily health screenings online, students, staff and faculty will receive an email confirmation with a green “cleared"" badge that they must show to be allowed to enter dining halls, the George Sherman Union and several other public spaces” https://t.co/2Q3KLBKj9T",San Francisco,covid19
22,Behzad Taimur,#COVID19 is back with a vengeance!! https://t.co/dd7ub0HarL,"Lahore, Pakistan",covid19
23,Lennie Derde,@DrLeoHeunks VitD bij #COVID19? Even lezen 👇. Variatie op @DrLeoHeunks : if it sounds tgtbt it is usually neither good nor true,"Utrecht, Nederland",covid19
24,Stella Hillman Roberts,"@MF_Vet I am in Greene County, MS. Thank you very much. My husband was only 54; a proud #USMC veteran, and I lost him to COVID-19 in July.  The military honored his memory beautifully @ his burial. I am very appreciative of your help.",South Mississippi / Louisiana,covid19
25,INSIDENE,"France &amp; Germany announce lockdowns after spike in COVID cases
#COVID19 #France #Germany #Announces #Lockdown #Spikeincovidcases 
@EmmanuelMacron @AngelaMerkelMES
https://t.co/FbPorYDMcU","Guwahati, India",covid19
26,Karlo Klarname,"@News24 @BraGrobbies Covid19 related death= any death with a positive tests. 

MEANINGLESS. HOAX. 
#Agenda2030 
#TheGreatReset",here and now,covid19
27,Newsnote Agency,"President Cyril Ramaphosa has begun a period of self-quarantine following the positive COVID-19 diagnosis of a guest at a dinner he attended this past Saturday. 
@silver_sibiya https://t.co/781vUl3pLY https://t.co/2d0bAH3gEf",South Africa,covid19
28,John O’Sullivan 💙🌊🌊🇦🇺🇬🇧🇳🇿 🇵🇹🇮🇪 🆘,On Inauguration Day @realDonaldTrump you spoke of American Carnage. You certainly “achieved” that 220 plus thousand dead of #COVID19 a tanking economy and stock market and the enablement of racist bigoted hypocrites that profess to value life. #VOTE #ElectionDay #VoteNow,"Prahran, Melbourne",covid19
29,Life Coach Adam,Inhaled antibody drug for COVID-19 clears coronavirus in animals #BioTech  https://t.co/Lzt5OXAp21,Global Citizen ,covid19
30,"AkoNgaSyLico (裏科) ""Wear The Damn Mask!""","@inquirerdotnet @DJEsguerraINQ After grueling, dragging, painful seven months into the pandemic...this administration now realized the need to put a price cap on the COVID-19 testing.","Tsimshatsui, Kowloon, HK",covid19
31,Elias G. Balimponya 🇹🇿,"@RachaelMcLellan Mbowe did nothing for Hai constituent and bad enough he was leading in opposing all strategic measures that were taken by the government against COVID-19, He was the leader in opposing all government budgets for all 5 years!

Nobody expected he would even get 6,000 votes 🤔","Mtwara, Tanzania",covid19
32,I C ReD🥰❤️Oct. 4eVer Free,"Coronavirus: First COVID-19 vaccine doses 'likely to be imperfect', says vaccination chief

Are these RETARDS FOR REAL!

TIME TO STEP UP AND STEP ON ⁦@DanielAndrewsMP⁩ ⁦@ScottMorrisonMP⁩  https://t.co/fWgKdwxqtC",,covid19
33,Medpick,"On this joyful occasion of Eid-e-Milad, We wish you and your family with bundles of love, kindness, and success. Enjoy your day with unbound laughter and protect yourself from the wrath of COVID-19 with face masks available at https://t.co/l8CHmkSFv2 https://t.co/ek0d6tBeQY","Bengaluru, India",covid19
34,Nadeem Gaur,"Covid-19: France, Germany impose lockdown as cases go up.
https://t.co/jrDuefBn3i",India,covid19
35,Gaijinhunter,"Japan hit a sad milestone of 100k COVID-19 cases since the pandemic started, Tokyo representing 30% of that. In total we have had a total of 1751 deaths to date. Feels like Japan as a total has an average of 550 new cases a day across a week. Much better than other places but :(","Tokyo, Japan",covid19
36,Sahoko🦍🇯🇵,@Heefosaurus Hi Heef. NO....we are scared of Covid-19.,日本 東京,covid19
37,NYKS India,"Volunteers of Nehru Yuva Kendra #Alipur #Delhi disseminating information about precautionary measures for #COVID19 and distributing face masks.
#JanAndolan 
#Unite2FightCorona
#IndiaFightsCOVID19 
@KirenRijiju | @RijijuOffice | @YASMinistry | @PMOIndia https://t.co/97M9owAmwp",India,covid19
38,Jumpei ARAI 荒井順平,Hard to say lockdown is a good measure against Covid19 now. At least we don’t need it in Asian regions because tracking the infected individuals is a top priority here now. https://t.co/hOEJqSDP6o,"Osaka, Tokyo",covid19
39,Gold Star Kenya,The protection of children and learning facilities is particularly significant. Precautions are necessary to prevent the potential spread of COVID-19 in schools. https://t.co/VJRwULcuQL @USAIDKenya @AfyaUzazi @MOH_Kenya @Baringo_county @NakuruCountyGov @fhi360research @fhi360 https://t.co/NJk2QGVZMO,"12 Ralph Bunche Road, Nairobi",covid19
40,Kristian Ofte Arntsen,Vote COVID-19 🤜🏻 https://t.co/KR9kasAjMI,"Oslo, Norge",covid19
41,A. F. Isakovic,"@CaseytheRed An amateur view - I realize judges have non-trivial discretionary power, but, is there anything PDs and prosectors can do together to stop this jerk? 

Is there an actual split among legal professionals into ""COVID-19 truthers"" and other?",USA,covid19
42,Globe Paces,"British Study Shows Antibodies Against COVID-19 Declined Rapidly
#COVID https://t.co/NEFGAeRb6S",Ghana,covid19
43,Travshorts,"Those taking international flights from the Delhi airport will soon be able to get their COVID tests done right before their departure. This was recently announced by Genestrings Diagnostic Centre that operates the testing lab at the Delhi airport. 

https://t.co/nItHOkP23z",,covid19
