,user,tweet,location,keyword
0,wen⁷ (busy @ school),o yeah hot arsonist boy 👍🏻👍🏻👍🏻👍🏻👍🏻 https://t.co/LNzxSnkgGb,,arsonist
1,YIKERS,"Hi , tired , perturbed , motivated, playing with #matches e.p in 24 hrs
Extra DEVIL'S NIGHT ARSONIST 🔥 🔥 🔥 https://t.co/Hg3mprkwY2",,arsonist
2,アレイス 🦋 | 🎃 ハロウィーン🍬,@badshibe I got her from gacha and now everyone won't stop calling me as a member of the loli arsonist club. 😂,Within the clouds,arsonist
3,dani | support📌,@avinscafe arsonist anthem 😔✊🏼,Orbit O1 ,arsonist
4,Wendy6%✝️🏴󠁧󠁢󠁳󠁣󠁴󠁿🇬🇧 🇺🇸(Worldwidepatriot),Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/djZxkcTshf,United Kingdom,arsonist
5,#JoinUsNow,@SaharaReporters @MBuhari The only Arsonist we have in the federal republic of Nigeria hails up-North. They are addicted in setting places ablaze with reckless abandon.,,arsonist
6,Tom,Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/cpOIuOUQ3y,,arsonist
7,Isaac Anand,"@LegalLro @Collectortnv @CityTirunelveli @Indumakalktchi @imkarjunsampath @ChennaiTimesTOI @CMOTamilNadu Share the progress . Don't you think by supporting arsonist , credibility is at stake . If guilty , people has to be punished to prevent those persons who  commiting bigger crimes .who vandaluses cemetery ?? If any concer it has to be taken to court of law.",,arsonist
8,vivi ⨟ ☆ IZONE DAY,@chaerflrt chaeryeong is my favorite arsonist :(((,I'm Falling For U I'm Falling For U I'm Falling For U Once again I'm Falling For U Falling For U 빠져 나오긴 늦었어,arsonist
9,rain/vapour 🐝 - gay time,@Stegakitty then you can %fish with me later fellow arsonist,he/she/they/it,arsonist
10,Vinylfan,"@simbatopcat @marklevinshow The bailing out has been of protesters arrested for protesting, a right protected under the 1st Am. Show me one example where they have provided bail to a looter or arsonist.",,arsonist
11,Cetacean Team,"Trump: 'Climate Arsonist'
https://t.co/n1ff38eVBR",United Kingdom,arsonist
12,Dave,"@bulldoglegend @BenMoxham @berniedole1 @theheraldsun What are you going on about? A fire didn’t start, the fuse was lit by Andrews incompetence. The arsonist is now trying to take credit for putting the fire out.",,arsonist
13,Craig Ranapia,"@ShakingStick If you're going to be a political arsonist, you need to bring your own petrol and matches.  Sorry, but that's how the game gets played.",,arsonist
14,DMI Nice Guy,@CA__Shelton Or arsonist 🤣🤣,,arsonist
15,John CooOOOons 👻,"Had to mute my first leftie on here because he was trying to play the ""Biden and Trump are the same"" card. The world is on goddamn fire and Biden is a bucket of water. Sure, we need 1000 fire trucks, but don't pretend he's as bad as the arsonist w/a goddamn flamethrower.","Brooklyn, NY",arsonist
16,ri,i need to make a dabi simp friend bc holy fuck he’s all i wanna talk abt but none of you wanna hear about my crazy arsonist bf DNWN I HAVW NO RELEASE,she/her 18,arsonist
17,DQRP,IM THE GAYEST ARSONIST IN THE LAND,Burnt Down Dairy Queen,arsonist
18,💭🦦,"this is why i love all my arsonist moots, the only ones i can trust to love and support youngjae",²⁺¹ she/her,arsonist
19,AAH both my name and reaction to the world,Arsonist's Lullabye https://t.co/8lQUOpcar9 via @YouTube,Canada,arsonist
20,STOPANARCHYNOW,"@AriseTV360 @channelstv @AIT_Online @NTANewsNow @MobilePunch @GuardianNigeria 
The last time I checked I learned that every tribe and tongue in nigeria have Theives , Robbers , Swindlers, Ritualist’s, Rapist, liars , Governors and leaders, looters , killers , militants , Arsonist",,arsonist
21,~Adestria/Genixlaw~,@honkjacie T W I R L https://t.co/hGWIKOgtoO,She/They,arsonist
22,Skip Palenik,The cloth wick gave the arsonist plenty of time to get away.,In The Lab,arsonist
23,S̶i̶r̶ ̶L̶e̶e̶ ̶G̶h̶o̶u̶l̶,"@briantylercohen @SeanBradbery @PeteButtigieg Fox Host: coming up next. We interview an arsonist and give him a lit match and some petrol.
Fox Director: Live in 3... 2... 1...
Fox Producer *whispering: I can't find the extinguisher",,arsonist
24,Stuff,Nelson wildfire arsonist sentenced on assault charges https://t.co/hafYTRV5fL,New Zealand,arsonist
25,Shane B. Murphy,"#Philadelphia
Wow… Had not heard about this... 
(Last night)

A Vietnamese Baptist Church in Philadelphia was hit by an arsonist last night, after an accelerant was poured on the church roof and it was set on fire.

 https://t.co/r9QALc0IA8","Lincoln, Ontario",arsonist
26,ivanna/navi 🌺 @ #HELLOLOKI,what if i was your arsonist cat boyfriend and you were my firefighter dog boyfriend what then lol,✩ she/her ✩ lesbian ✩ exfp ✩ ,arsonist
27,We'reAllJustHavingFun,"@JennaEllisEsq It's like you set our house on fire and immediately turn to the camera and say ""the person who lives in this house is an arsonist"". This is what abusive husband's do to their wives.",,arsonist
28,~Adestria/Genixlaw~,@dewberdrop @rileybearzz @TubboLive That is so good! :O You’re super talented!!!,She/They,arsonist
29,y-179West is tired&wired ⚽🐦🕉 🇮🇳🇺🇸🏳️‍🌈🐝👻,@Drilllinayy he's a damn arsonist now,"Chandler, AZ, US, Earth",arsonist
30,~Adestria/Genixlaw~,@nathansmokee I’ll be your friend Nathan! :D,She/They,arsonist
31,Trump’s Perpwalk,@thismyburner8 lmao straight up arsonist 🤣 https://t.co/qoWZzs6OF9,On your screen right now ,arsonist
32,Isiyana🇧🇬,my boyfriend just called me a 4’2 arsonist ... FIRST OF ALL i am 5’5 sir get ur facts straight,"Toronto, Ontario",arsonist
33,~Adestria/Genixlaw~,@MinxMore But minx you’re already super pretty https://t.co/zfBC314PHk,She/They,arsonist
34,Cameron Cawthorne,A CNN medical analyst just said that Trump emulates an “arsonist” while talking about spreading Covid. Wtf,"Arlington, VA",arsonist
35,HeadlineZoo,@therecount @AlisynCamerota Trump is an arsonist. Many MAGAs would follow him off a cliff and take us down with them.,Guesthouse on USA's 4th Estate,arsonist
36,angie gained color,@ggneedshelp i only got a coda,Lonesome Town,arsonist
37,Your Broski Amanda,@airafleeza He looks like an arsonist,,arsonist
38,skip allen,"@GOP @realDonaldTrump Your running on your own record and any corrupt aspects of your administration, before and after the pandemic.

You failed as a President and continue to lie, your accountable as an arsonist to our democracy and you will be held accountable #November3rd",,arsonist
39,Stick a fork in; I'm done,@RyanPruittNYC It's more than a little.  I have heard that from several young people with little grasp of history and/or are seriously burned out.  Of course that strategy doesn't work.  It's like being a literal Arsonist.,Northern California ,arsonist
40,—ethan loves quackity—,@miasdreaming hi i love you too &lt;3,i’m literally vibin,arsonist
41,—ethan loves quackity—,heLlo! please reply with quackity pictures/ memes it would be very much appreciated😎👨‍❤️‍💋‍👨🧍🏻,i’m literally vibin,arsonist
42,Esteban Bornstein,"I had an equally damning treasure trove of docs that prove Trump killed Jimmy Hoffa and buried him on the 18th Green at Bushwick. Unfortunately, I left them on  a park bench, where they were burned up by a mad arsonist wielding a blowtorch and a copy of ""Mother Goose."" https://t.co/Wpp9OeX1nf",,arsonist
43,—ethan loves quackity—,@jcnootfound short,i’m literally vibin,arsonist
44,—ethan loves quackity—,@ihateclayblock tall,i’m literally vibin,arsonist
45,✞IMO✞HY,🤨Dozens Of Ballots Destroyed In Boston After Arsonist Sets Ballot Box On Fire via @gatewaypundit https://t.co/eNCNOBaPNQ,,arsonist
46,—ethan loves quackity—,bruh i so wish i had the money and/or the equipment to start streaming hhhhhh i really want to start streaming,i’m literally vibin,arsonist
47,The Only Tony You'll Ever Need,"@AC360 Bob Woodward saw the arsonist
Buy the gas and Strike the match.

But he didn't call the cops, he wrote a book about it.

Remember that.","Charlotte, NC The Queen City",arsonist
48,mia! yuno ♡,"@catboysyrup arsonist
cat
boy",She/Her They/Them! Age : 16,arsonist
