,user,tweet,location,keyword
0,John Boyd,@Beautyful_Renee @PrinceMarcus_27 @J_Nova_Kane He was fire but it was definitely a. Weird fit. Like why you in young money and you the same age damn boss.,,fire
1,Don Jefferis,"Eric 'The New Einstein ' Trump is some kind of pure genius, just like the old man. The whole world is on fire, upset about his social media, just like he says. https://t.co/FhodLiOng4","Cleveland, OH",fire
2,Dolly Kikon,"@PLD_India @parodevi @busydot @manzibarr @arjunkapoor @aagrabakijasmin @jagritichandra @majumdar_swapna @rituparnaborah @Shampa_Sengupta @jaynakothari Just finished a pribriefing meeting with the team. The AMAZING  Uma Ma'am is on fire!!❤ 
Please dont miss this event! Join in to celebrate her life and work!","Melbourne, Victoria",fire
3,ꓘ,@dean__91 Looks fire but the real goat isn’t 3-6-1 he’s 4-6 🔥,hell on earth ,fire
4,v.,"fire in my lungs, can’t bite the devil on my tongue, you know.",milenao minha gema,fire
5,Susan (Ricky Garfield's Mum),@lifeofdarvey @darveydreamin You're on fire Kelly! As well as Harvey's ... https://t.co/SqI0Ul7srV,Australia,fire
6,Tyler Harris,"@forsale1818 Eh, it's just a ""bitch drink"", lol. It's smooth and non-offensive, so anyone could drink it. It's not ""bad"" per-se, it's just made for people that don't really drink, lol. As far as cinnamon whiskies go, JD Tennessee Fire is MUCH better.","Easley, SC",fire
7,K.W.,2K on fire.,,fire
8,✨Fire✨ - RWBY era,@C4D3NCE Whaaa that's so sad there's some v good ones uwu,,fire
9,The Natomas Buzz,SacFire Engine No. 15 reporting small fire on exterior deck of two-story restaurant.,"Sacramento, CA",fire
10,JCcharger,@itsfyebottom Phew I’m glad I found this real page and blocked a fake one.this content is fire 🔥  of here I come,Tallahassee FL,fire
11,Jude🇬🇭,I think the reason I get turned off when women like to play hard to get or make me do too much chasing is cuz I know how dope and fire I am lol. Chasing is for average &amp; regular dudes &amp; I’m far from that,Denver,fire
12,Ann Neels,"Stupid Chuck Todd Statement Of The Day: Biden's Taking COVID 'Too Seriously' | Crooks and Liars https://t.co/v5xgmW2DRY 

I WISH MSNBC WOULD GET YOU OFF THE NEWS CYCLE!  YOU ARE ALWAYS BOTH SIDING IT!  I CAN'T STAND YOU.  FIRE HIM FOR FUCKS SAKE!!",,fire
13,hana is a dummy era,@meowmiIk LIAR🤥 LIAR PANTS 👖 ON FIRE 🔥 UR NOSE 👃🏻 IS AS LONG AS A TELEPHONE WIRE☎️,,fire
14,re-animatedGeoff 🧟‍♂️,Are they like pressurizing the system or something? I have no idea how fire hydrants work but they’re close to each other so it’s gonna be something like that?,"New Orleans, LA",fire
15,Love sneakers,"Launching tomorrow. Who's already prepared to pay resell? 
Color: Sail/Fire Red/Muslin/Black
Mens: $225
Style Code: DH8565-100
https://t.co/8GC2Ieq0HW https://t.co/AW8UApG2uS",,fire
16,🎃🦇👿Androssee but spooky👿🦇🎃,"@TheEwizzle @NetJGG Yo, if you're tryna play rust hmu lol, that games fire asf with people",That One Country That's Fake,fire
17,sabasathini,Yeah no Drake album gonna be fire.,"Cape Town, South Africa",fire
18,The Zambian Observer,"HONORABLE’ YOU HAVE NO HONOR , B-FLOW BREATHES FIRE https://t.co/Q2hgco8JfI",,fire
19,Max Zorin,Straight fire.  #MikeTomlin https://t.co/ySzvBiP2b1,The Fire,fire
20,RRC Suds,"@Tam_Chris20 @krishnadaasa @skywinner89 @jose2ss @FearknotS @IndianF85857434 @JaiswalaniL8 @DanielBSingh1 @AnnPran1 @Victoryvox @Jay59952869 @BrethrenIndia @TamilSamuel @mayaram0521 @missionkaali @1bLibertarian How the church used religious sanction to fire up these wars. The 1st Papal bull on crusades Urban 2 issued. 

It said that if you killed a heretic, pagan or Muslim gained a reduction in sin. Urban even granted a full remission!

Good talking though, hope no offense taken",,fire
