,user,tweet,location,keyword
0,James Keay,"I guess that’s what the riots, arson and murders are about- #Riots2020 Kamala Harris Calls for 'Reckoning on Racial Injustice in America' https://t.co/Z2gnywKUsn","Boston, MA USA",arson
1,Random 🐸🎃||DUCKTALES SPOILERS||,@Iaunchdad i’m going to commit arson /j,,arson
2,Snake Plissken,"@kmbecker13 @dont_growup @Venice311 How can you allow this to happen to tax paying Residents in the City of Los Angeles? https://t.co/4a91Vyd4Nl

#Venice #Culver #Palms 
@MayorOfLA
  
@mikebonin
  
@PaulKoretzCD5
 
@CulverCityPD",,arson
3,Connie Hilarides,@FreyjaErlings Bastard cop arson. Sounds fun,"Redmond, WA",arson
4,missiongirl,"something very weird is happening. there are more first time voters than usual. I can't predict their behavior. it's too complex for even experts to know what will happen. but it's either anger at how Trump handled Covid or anger over the looting, arson and property destruction.",,arson
5,Shane B. Murphy,"#Philadelphia
-MORE LOOTING-
10 Cars just broke into and began looting a pharmacy - missed address.
____
Two arrests just made on Woodland.
____
Earlier vehicle fire reported to be arson.","Lincoln, Ontario",arson
6,Mistrex,"@ggneedshelp @malleksaturn DID I HEAR ARSON
AND
SMP? 👀",,arson
7,ella arson,"@WICKEDBWNY Oh hell Yes! The work has just begun, righting all the wrongs, freezing assets, and prosecuting to the fullest extent of the law.
For the last 30 years, there has been no executive check. That is why we are hosting this shit show, and we shan't come here again!",,arson
8,RonniSalt,"I'm not blind to the insidious subversiveness of the Chinese government, but this article really can't be taken seriously

Which is a shame

When you're a septic-tank publication producing ""arson attack"" lies &amp; peddling propaganda for the federal govt - nobody takes you seriously https://t.co/7hsBzdRsGN",Slightly to the left,arson
9,🌧🌿Felix/Fei misses Illumi🌿🌧,Goodnight moots! I will now dream of arson and committing many other felonies &lt;3,🃏Clowntown,arson
10,michael,"@fineline179 Yeah, I've always heard it's extremely rare for a car accident to result in a fire.  I see vehicle fires in Oakland sometimes, but they usually appear to be arson or an encampment fire.  No idea WTF happened here.","Oakland, California",arson
11,simbatopcat,@JuliannaKnits @Acosta Biden bailing out criminals and encouraging looting and arson and it will come to your neighborhood and Biden saying police are the enemy not to mention the victims of the BLM riots,United States ,arson
12,.,I was just heading up to get some smokes looks like we've got a murderer or arson or something,"Flint, MI",arson
13,Dale Padman,"@djword Typical of these Trump supporting types. Arson, looting, destruction of property and looting. I'd vote for Biden because I identify as black and American. And Biden did say I had to vote for him. Unfortunately when I asked, the American embassy where I'm at said no.....",,arson
14,RIVER IS INLOVE W FROGGIE,"and arson and socks 
https://t.co/aJ2wNzlpqs",CARRD BYF !! 4TEEN,arson
15,cleo 💛 kai best catboy,this sounds like u just accidentally committed arson https://t.co/iOimq2cvJa,she/they + 24 + ⚢,arson
16,saloni,"BREAKING NEWS: Korean entertainment company SM ENTERTAINMENT's building was reportedly burnt down this morning in what is suspected as an ""act of arson"". Police have released a photograph of the alleged culprits: https://t.co/uLK11qeb9T",19 • she/they • new delhi,arson
17,Ola Johnson,"@October20_20 @toyinawobadejo @fisayosoyombo Do you know what jailbreak means? How do you want the society to look like when people, possibly convicted for rape, murder, arson, etc, force their way back into the society?",Ota,arson
18,smartest person alive 💖,"Yes I commit arson, yes I am racist to white people. Mind your business 🙄","Toronto, Ontario",arson
19,Marvie 💗 The Moon ✨,"TW // Eye horror ish ? Has six eyes, but it's not really horror but :0

I drew a bastard
we call it ""Parasite""

Arson hates me after this drawing https://t.co/S24YCLtO2d",,arson
20,violette had a selfie with sehun ♤ #IDEA ACT2ᵀᴹ,THIS IS ARSON,she/her || 🇮🇹🇺🇸,arson
21,Sorosoke247,"Police parade 420 more suspects in nine states, Abuja

POLICE in 9 states on Wed paraded more than 400 more suspects for killing, looting and arson that trailed  the #EndSARS protests across the country.

218 suspects in 6 mobile courts for involvement in looting at Kuje, https://t.co/0S5YaZrExO",Nigeria,arson
22,Patrick Ball,"@PenisPillGril Arson Pestilence Prostate

Not exactly signs of good times ahead! 😂","England, United Kingdom",arson
23,aish-assination,@sangoghh @sathithosuthi +1 😋arson time,in pain,arson
24,Misty's Psyduck,@MarginalScribb1 bold of them to put footage of arson,India.,arson
25,The One Buns,"Track added to Buns' Noise Void on Spotify: ""Barely Holding on"" by Elay Arson, Occams Laser https://t.co/XHvZ8xrhEU",,arson
26,Conagher Denson,"@eklu65 @PandasAndVidya Probably the same reason people have an issue with arson, wide spread violence and looting","Universal City, TX",arson
27,𝙉𝙤𝙤𝙣𝙖 𝙇 🍥,If Arson is not against the law . . .,"Quezon City, Philippines",arson
28,Webmaster,"Inflation, unemployment,  FX all hitting the roof now coupled with large scale war-like destruction, looting, arson, lawlessness and banditry all across the country! Buhari beware the tell tale signs of coup-de-tat. Preserve our democracy,do something and stop faffing #EndSARS","Austin, TX",arson
29,📯,"we got robbers robbing robbers, gun battles with the cops, mass scale looting and arson, dozens shot, yet philadelphia ISNT trending at all

if i was close, id be all up in every JEWelry shop getting iced up 🥴 https://t.co/esTOJ5Lzzv",,arson
30,SY⁷回 is on follow limit,"you can really do anything to psycho by red velvet , it's perfect for getting ready for homecoming and as background music for when you commit arson",he/him black 18,arson
31,7NEWS Adelaide,"Two raging infernos have lit up the night sky in separate arson attacks in the suburbs. At Flinders Park a property set to be renovated has been destroyed, as well as an eyesore on Anzac Highway. Report in 7NEWS at 6pm. https://t.co/8ftPfFYTVQ #7NEWS https://t.co/BbVX2pbax9","Adelaide, South Australia",arson
32,Kenny,"I want to date a firefighter, alittle arson won’t hurt!","Virginia, USA",arson
33,gil is a twink anti,@J0HNJAES we're gonna have to commit arson https://t.co/lsbuPxjS9C,,arson
34,sarah ⚡️,@milfhorizon i feel like a lot of artists that people think are lgbt wait until they’ve gathered a gigantic fan base until they’re like “i’m not lgbt and never will be but thank you for the support 😀👍” and it makes me want to commit arson,she/they • 16 • ⚢ • mg • b ♡,arson
35,spooky jim,@formerlypissed Arson!,956 to 210,arson
36,OU Boom!!!,@ArrogantSooner That’s arson.  Whoa,"Marana, AZ",arson
37,"Neeraj Aarora, CISSP,CFCE,FCMA,CISA,CCSK,CFE","In hostile #CyberSpace, LEA &amp; #CyberSecurity experts miserably failed before #hackers who are highly motivated &amp; organized. Need to replace traditional #CISOs with dynamic, young #CyberWarriors with hackers mind. #CIO #CISOOnline #cyberattacks #infosec

https://t.co/qID8whsWUk",India,arson
38,Luci is... asleep 😴,"Goodnight to my fellow Oikawa kinnies with mommy issues, bitches with god complexes, the love of my life, the lesbian Yoongi/Seokjin stans, chaotic stan twt gays on my tl, those who would commit arson with me, girls with no ass, boys who'd wear a maid costume, and Levi kinnies.",,arson
39,鳳,"#音楽をシャッフルして最初に流れた5曲晒せ
1.Rampage(Dex Arson)
2.Fountain Of Youth(F-777)
3.Always With You(Loxive,ColBreakz)
4.Heaven(ColBreakz)
5.Charisma(DJ Striden)",,arson
40,Harik,"@GaydolphS at least fake an inept arson or cyber attack or something, this is just sad.",forever quarantine,arson
41,Colton,@grantandre_ Mailbox Arson would like to have a word with you.,"Kelowna, British Columbia",arson
42,claybie owl ✿,@trolljimstan I AM GONNA COMMIT ARSON GIRL- WHYYYYYY DID SHE DO THATTTTTT,they/them!! 15!!,arson
43,Stefan Hill,"Had a dream last night that I committed arson, was more of a nightmare really though. Lots of people died.","Stevenage, England",arson
44,poe loves you ♥,@iamOsamu //if you ever need to get away with arson just find me 🥰 /hj,admin - he/him or racc/raccoon,arson
45,arson✨✨,Bowl of cashews https://t.co/ZkOEYu5xzy,,arson
46,avyeri,@_linoracha AND SUDDENLY ARSON IS OKAY,,arson
47,Matt Lowe,"@MikeLindblom @seattletimes @mlbaruchman @Jeopardy Who is a ""climate mayor"" that upholds the status quo tradition of climate arson in Seattle by delaying and defunding transit projects while pandering to her car centric voting base with monuments to climate change?",Party Mountain,arson
48,BPete45,"@mind_arson @LeisureSuitLV @merissahamilton @ExDemLatina Phoenix has a Dem mayor, city council and County Sheriff. Phoenix is blue to purple.  The state as a whole is Red but the Central Valley is fairly blue.","Phoenix, AZ",arson
49,DJ_Arson,"My first stream back in 2 weeks~ and I get 8 subs I DON'T DESERVE Y'ALL 💙💙💙💙💙💙

https://t.co/I07AbQBSqJ https://t.co/c889PTiqR2","Rancho Cucamonga, CA",arson
50,poe loves you ♥,@iamOsamu // WHAT FUCKING SIDE OF TIKTOK ARE YOU ON? THE WORST IVE GOTTEN IS SOMEONE TEACHING ME HOW TO GET AWAY WITH ARSON,admin - he/him or racc/raccoon,arson
